case_id,dissatisfaction,policy_demand,coproduction_request,trust,outcome
1,0.919431,0.983555,0.638287,0.587368,1
2,0.561456,1.0,0.509018,0.054947,0
3,0.165272,0.413455,1.0,0.975297,1
4,0.0,0.0,0.716629,1.0,1
5,0.659962,0.874856,0.0,0.0,1
6,1.0,0.002229,0.054272,0.114896,0
7,0.0,1.0,0.436839,0.500063,1
8,0.465384,0.394022,1.0,1.0,1
9,0.203328,0.0,0.996457,1.0,1
10,0.68995,0.0,0.0,0.0,0
11,0.0,0.307828,0.472328,0.0,1
12,0.281451,0.727995,1.0,0.795625,1
13,0.699594,0.604068,0.0,0.0,0
14,0.107188,1.0,0.061799,0.499909,1
15,0.0,0.0,0.0,0.0061,0
16,0.120944,1.0,1.0,1.0,1
